"Name","Population","Home Value Growth (YoY)","Home Value","Price Cut %","Days on Market"
"Aibonito, PR","24,610","-","-","-","-"
"Ciales, PR","16,874","-","-","-","-"
"Guayanilla, PR","17,418","-","-","-","-"
"Sabana Grande, PR","22,541","-","-","-","-"
"Hormigueros, PR","15,520","-","-","-","-"
"Cabo Rojo, PR","46,955","-","-","-","-"
"Ceiba, PR","11,128","-","-","-","-"
"Cataño, PR","22,768","-","-","-","-"
"Toa Baja, PR","71,888","-","-","-","-"
"Vega Alta, PR","35,114","-","-","-","-"
"Morovis, PR","28,534","-","-","-","-"
"Juana Díaz, PR","46,276","-","-","-","-"
"Barceloneta, PR","22,565","-","-","-","-"
"Camuy, PR","32,753","-","-","-","-"
"Las Marías, PR","8,790","-","-","-","-"
"Lajas, PR","23,133","-","-","-","-"
"Rincón, PR","15,276","-","-","-","-"
"Fajardo, PR","31,756","-","-","-","-"
"Carolina, PR","150,843","-","-","-","-"
"Trujillo Alto, PR","66,705","-","-","-","-"
"San Juan, PR","333,005","-","-","-","-"
"Aguas Buenas, PR","23,888","-","-","-","-"
"Salinas, PR","25,397","-","-","-","-"
"Barranquitas, PR","28,984","-","-","-","-"
"Guánica, PR","13,266","-","-","-","-"
"San Sebastián, PR","39,168","-","-","-","-"
"Quebradillas, PR","23,486","-","-","-","-"
"Aguada, PR","37,904","-","-","-","-"
"Canóvanas, PR","42,037","-","-","-","-"
"Juncos, PR","36,895","-","-","-","-"
"Guayama, PR","35,845","-","-","-","-"
"Santa Isabel, PR","20,064","-","-","-","-"
"Orocovis, PR","21,351","-","-","-","-"
"Manatí, PR","39,152","-","-","-","-"
"Arecibo, PR","85,641","-","-","-","-"
"Hatillo, PR","38,266","-","-","-","-"
"Vieques, PR","8,147","-","-","-","-"
"Luquillo, PR","17,631","-","-","-","-"
"Yabucoa, PR","29,868","-","-","-","-"
"San Lorenzo, PR","37,515","-","-","-","-"
"Comerío, PR","18,775","-","-","-","-"
"Villalba, PR","21,778","-","-","-","-"
"Isabela, PR","42,878","-","-","-","-"
"Añasco, PR","25,316","-","-","-","-"
"Caguas, PR","124,608","-","-","-","-"
"Guaynabo, PR","89,039","-","-","-","-"
"Bayamón, PR","180,835","-","-","-","-"
"Toa Alta, PR","65,957","-","-","-","-"
"Coamo, PR","34,294","-","-","-","-"
"Florida, PR","11,624","-","-","-","-"
"Peñuelas, PR","20,082","-","-","-","-"
"Lares, PR","27,944","-","-","-","-"
"Moca, PR","37,402","-","-","-","-"
"Aguadilla, PR","54,486","-","-","-","-"
"Cidra, PR","39,765","-","-","-","-"
"Naranjito, PR","29,246","-","-","-","-"
"Vega Baja, PR","54,058","-","-","-","-"
"Ponce, PR","130,251","-","-","-","-"
"Jayuya, PR","14,653","-","-","-","-"
"Utuado, PR","27,896","-","-","-","-"
"Adjuntas, PR","17,975","-","-","-","-"
"Yauco, PR","33,509","-","-","-","-"
"Maricao, PR","5,176","-","-","-","-"
"San Germán, PR","31,514","-","-","-","-"
"Culebra, PR","1,281","-","-","-","-"
"Naguabo, PR","23,205","-","-","-","-"
"Humacao, PR","50,441","-","-","-","-"
"Río Grande, PR","46,478","-","-","-","-"
"Las Piedras, PR","35,034","-","-","-","-"
"Loíza, PR","23,176","-","-","-","-"
"Patillas, PR","15,753","-","-","-","-"
"Gurabo, PR","40,383","-","-","-","-"
"Cayey, PR","41,231","-","-","-","-"
"Dorado, PR","35,816","-","-","-","-"
"Corozal, PR","34,474","-","-","-","-"
